Male: Lucius; Female: Lucia
Male: Marcus; Female: Marcia
Male: Gaius, Caius; Female: Gaia
Male: Quintus, Quinctus; Female: Quinta
Male: Sextus; Female: Sexta
Male: Decimus; Female: Decima
Male: Publius; Female: Publia
Male: Aulus; Female: Aula
Male: Gnaeus, Cnaeus; Female: Gnaea
Male: Spurius; Female: Spuria
Male: Servius; Female: Servia
Male: Manius; Female: Mania
Male: Mamercus; Female: Mamerca
Male: Numerius; Female: Numeria
Male: Tiberius; Female: Tiberia
Male: Titus; Female: Titia
Male: Appius; Female: Appia
Male: Caeso; Female: Caesula
Male: Paullus, Pollus; Female: Paulla, Polla
Male: Proculus; Female: Procula
Male: Postumus; Female: Postuma
Male: Agrippa; Female: Agrippina
Male: Julius; Female: Julia
Male: Claudius; Female: Claudia
Male: Cornelius; Female: Cornelia
Male: Fabius; Female: Fabia
Male: Valerius; Female: Valeria
Male: Antonius; Female: Antonia
Male: Aemilius; Female: Aemilia
Male: Cassius; Female: Cassia
Male: Flavius; Female: Flavia
Male: Aurelius; Female: Aurelia
Male: Tullius; Female: Tullia
Male: Junius; Female: Junia
Male: Sergius; Female: Sergia
Male: Horatius; Female: Horatia
Male: Lucretius; Female: Lucretia
Male: Octavius; Female: Octavia
Male: Vergilius; Female: Vergilia
Male: Ovidius; Female: Ovidia
Male: Domitius; Female: Domitia
Male: Licinius; Female: Licinia
Male: Sulpicius; Female: Sulpicia
Male: Pomponius; Female: Pomponia
Male: Calpurnius; Female: Calpurnia
Male: Terentius; Female: Terentia
Male: Petronius; Female: Petronia
Male: Sempronius; Female: Sempronia
Male: Marcius; Female: Marcia
Male: Hostilius; Female: Hostilia
Male: Manlius; Female: Manlia
Male: Fulvius; Female: Fulvia
Male: Caecilius; Female: Caecilia
Male: Vibius; Female: Vibia
Male: Sallustius; Female: Sallustia
Male: Vipsanius; Female: Vipsania
Male: Plinius; Female: Plinia
Male: Crispus; Female: Crispa
Male: Severus; Female: Severa
Male: Magnus; Female: Magna
Male: Rufus; Female: Rufa
Male: Longus; Female: Longa
Male: Celsus; Female: Celsa
Male: Justus; Female: Justa
Male: Felix; Female: Felicia
Male: Verus; Female: Vera
Male: Primus; Female: Prima
Male: Secundus; Female: Secunda
Male: Tertius; Female: Tertia
Male: Quartus; Female: Quarta
Male: Nonus; Female: Nona
Male: Septimus; Female: Septima
Male: Maximus; Female: Maxima
Male: Faustus; Female: Fausta
Male: Festus; Female: Festa
Male: Silvanus; Female: Silvana
Male: Marcellus; Female: Marcella
Male: Julianus; Female: Juliana
Male: Aelianus; Female: Aeliana
Male: Flavianus; Female: Flaviana
Male: Hadrianus; Female: Hadriana
Male: Cassianus; Female: Cassiana
Male: Gratianus; Female: Gratiana
Male: Valerianus; Female: Valeriana
Male: Constantinus; Female: Constantina
Male: Laurentius; Female: Laurentia
Male: Hilarius; Female: Hilaria
Male: Florentius; Female: Florentia
Male: Victor; Female: Victoria
Male: Vitalis; Female: Vitalia
Male: Urbanus; Female: Urbana
Male: Saturninus; Female: Saturnina
Male: Sabinus; Female: Sabina
Male: Marianus; Female: Mariana
Male: Atilius; Female: Atilia
Male: Curius; Female: Curia
Male: Drusus; Female: Drusa
Male: Lentulus; Female: Lentula
Male: Scaevola; Female: Scaevola
Male: Regulus; Female: Regula
Male: Varus; Female: Vara
Male: Naso; Female: Nasa
Male: Brutus; Female: Bruta
Male: Cato; Female: Cata
Male: Nero; Female: Nera
